cityname,state,bedrooms,local_median_price,local_mean_price,local_price_std,comparison_group_size
Ann Arbor,MI,1.0,1219.0,1205.4615384615386,238.78777725022394,13
Ann Arbor,MI,2.0,1610.0,1854.75,789.2212934278953,4
Ann Arbor,MI,4.0,3950.0,3766.6666666666665,407.2263907623539,3
Ann Arbor,MI,5.0,4200.0,4200.0,0.0,1
Ann Arbor,MI,6.0,4430.0,4430.0,0.0,1
Annapolis,MD,1.0,1322.0,1322.0,0.0,1
Annapolis,MD,4.0,6500.0,6500.0,0.0,1
Anniston,AL,2.0,825.0,825.0,0.0,2
Anoka,MN,1.0,1200.0,1200.0,0.0,1
Ansonia,CT,0.0,750.0,750.0,0.0,1
Anthem,AZ,1.0,1045.0,1045.0,0.0,1
Antioch,TN,1.0,720.0,720.0,98.99494936611666,2
Antioch,TN,2.0,1359.0,1414.0,113.02654555457315,3
Antioch,TN,3.0,1599.0,1382.6666666666667,374.7003247040671,3
Apache Junction,AZ,1.0,700.0,700.0,0.0,1
Apex,NC,1.0,953.0,961.0,42.467634735172155,5
Apex,NC,2.0,1069.0,1113.0,124.59200081332136,13
Apex,NC,3.0,1515.0,1488.0,176.04355521669441,4
Apex,NC,4.0,1450.0,1450.0,0.0,1
Apopka,FL,1.0,1190.0,1190.0,0.0,1
Apopka,FL,3.0,1675.0,1675.0,0.0,1
Apopka,FL,4.0,2500.0,2500.0,0.0,1
Apple Valley,MN,3.0,1499.0,1499.0,0.0,1
Appleton,WI,2.0,789.0,813.6666666666666,78.94512862319836,3
Arcadia,CA,2.0,2350.0,2216.6666666666665,275.37852736430517,3
Arcadia,CA,3.0,2675.0,2675.0,176.7766952966369,2
Arlington,MA,1.0,2300.0,2300.0,0.0,1
Arlington,MA,2.0,2200.0,2200.0,0.0,1
Arlington,MA,4.0,4500.0,4500.0,0.0,1
Arlington,TX,1.0,945.0,919.1304347826087,130.42667893140225,23
Arlington,TX,2.0,1180.0,1156.25,166.42069530586318,24
Arlington,TX,3.0,1540.0,1537.6666666666667,205.22548574677558,9
Arlington,TX,4.0,1899.0,1899.0,0.0,1
Arlington,VA,0.0,1599.0,1585.7272727272727,282.19535464252084,11
Arlington,VA,1.0,1926.0,1841.3636363636363,402.36656738036095,11
Arlington,VA,2.0,2026.5,1938.0,272.4787453484522,4
Arlington,VA,3.0,1889.0,1819.0,261.1340651849161,3
Arlington,VT,1.0,775.0,775.0,0.0,1
Arnold,MD,1.0,1459.0,1459.0,15.0,3
Artesia,CA,1.0,1695.0,1695.0,0.0,1
Arvada,CO,1.0,975.0,944.0,130.83386411781927,5
Arvada,CO,5.0,3980.0,3980.0,0.0,1
Arvilla,ND,2.0,545.0,545.0,0.0,1
Asheville,NC,1.0,1274.0,1274.0,319.6122650963195,2
Asheville,NC,3.0,2000.0,2000.0,0.0,1
Ashland,OR,1.0,1300.0,1300.0,0.0,1
Athens,GA,2.0,1030.0,1030.0,0.0,1
Atlanta,GA,1.0,1314.0,1341.7826086956522,364.6061332603542,23
Atlanta,GA,2.0,1410.0,1461.3333333333333,385.9830840548205,18
Atlanta,GA,3.0,1747.0,2159.0,1030.5224403185018,5
Atlanta,GA,4.0,2024.5,2024.5,106.77312395916867,2
Atlanta,GA,5.0,1345.0,1345.0,0.0,1
Atlantic City,NJ,2.0,1095.0,1095.0,0.0,1
Atlantic Highlands,NJ,2.0,1850.0,1850.0,0.0,1
Attleboro,MA,2.0,1500.0,1500.0,141.4213562373095,2
Auburn,AL,1.0,890.0,890.0,0.0,1
Auburn,AL,2.0,1164.0,1164.0,48.08326112068523,2
Auburn,AL,3.0,2000.0,2000.0,0.0,1
Auburn,AL,4.0,1690.0,1690.0,410.1219330881976,2
Auburn,WA,1.0,1420.0,1420.0,289.9137802864845,2
Auburn,WA,2.0,1768.0,1768.0,0.0,1
Auburn,WA,3.0,1629.0,1629.0,0.0,1
Auburn Hills,MI,1.0,1122.0,1122.0,0.0,1
Auburn Hills,MI,2.0,1490.0,1488.3333333333333,137.5075755488887,3
Audubon,PA,2.0,1475.0,1475.0,0.0,1
Aurora,CO,1.0,1018.0,1061.5,245.58149915511294,12
Aurora,CO,2.0,1253.5,1253.5,341.5325753131024,2
Aurora,CO,3.0,2200.0,2200.0,212.13203435596427,2
Aurora,CO,4.0,2650.0,2650.0,0.0,1
Austell,GA,1.0,995.0,995.0,0.0,1
Austin,TX,0.0,912.0,969.5,190.24346749120434,14
Austin,TX,1.0,1091.5,1176.7345360824743,325.20397756059384,388
Austin,TX,2.0,1240.0,1275.939393939394,356.0565713530795,99
Austin,TX,3.0,1245.0,1304.8,361.66378687510615,20
Austin,TX,4.0,1662.0,1662.0,1107.3292193381335,2
Avon,CT,1.0,1464.0,1464.0,0.0,1
Azle,TX,1.0,1050.0,1027.142857142857,52.26990393278773,7
Azle,TX,2.0,1525.0,1525.0,0.0,2
Azle,TX,3.0,1625.0,1625.0,0.0,2
Bacliff,TX,1.0,500.0,500.0,0.0,1
Bainbridge Island,WA,1.0,2250.0,2250.0,0.0,1
Bainbridge Island,WA,3.0,5200.0,5200.0,0.0,1
Bakersfield,CA,1.0,1255.0,1255.0,226.27416997969522,2
Bakersfield,CA,2.0,668.0,668.0,0.0,1
Bakersfield,CA,3.0,1445.0,1445.0,0.0,1
Ballwin,MO,1.0,791.0,791.0,0.0,1
Baltimore,MD,0.0,862.0,862.0,46.66904755831214,2
Baltimore,MD,1.0,1335.0,1324.1052631578948,454.3631556288235,19
Baltimore,MD,2.0,1062.5,1144.1666666666667,252.23503949989808,12
Baltimore,MD,3.0,2190.0,2190.0,0.0,1
Baltimore,MD,4.0,2675.0,2675.0,671.7514421272201,2
Barberton,OH,2.0,885.0,885.0,0.0,1
Barrington,NJ,2.0,1065.0,1065.0,0.0,1
Barstow,CA,0.0,52500.0,52500.0,0.0,1
Bastrop,TX,3.0,1495.0,1495.0,0.0,2
Batavia,OH,2.0,1599.0,1599.0,0.0,1
Bath,MI,1.0,687.0,687.0,0.0,1
Bath,MI,2.0,725.0,725.0,0.0,1
Baton Rouge,LA,1.0,820.5,828.75,204.1831285880398,12
Baton Rouge,LA,2.0,1025.0,1081.1,298.7345346996598,10
Baton Rouge,LA,3.0,1625.0,1675.0,344.6012188022555,6
Baton Rouge,LA,4.0,1645.5,1645.5,41.71930009000631,2
Battle Creek,MI,1.0,653.0,653.0,0.0,1
Battle Creek,MI,2.0,595.0,595.0,0.0,1
Battle Creek,MI,3.0,732.0,732.0,0.0,1
Battle Ground,WA,2.0,1150.0,1150.0,0.0,1
Battle Ground,WA,4.0,2750.0,2750.0,0.0,1
Battle Mountain,NV,3.0,1695.0,1695.0,0.0,1
Bay Saint Louis,MS,1.0,830.0,830.0,0.0,1
Bayonne,NJ,1.0,2270.0,2270.0,0.0,1
Baytown,TX,1.0,799.0,938.6666666666666,277.27303030286475,3
Baytown,TX,2.0,752.0,752.0,0.0,1
Beachwood,OH,1.0,715.0,715.0,77.78174593052023,2
Beachwood,OH,2.0,1010.0,1237.0,598.744519807906,5
Bear,DE,1.0,755.0,755.0,0.0,1
Beaumont,TX,1.0,600.0,600.0,0.0,1
Beaver Dam,WI,1.0,687.5,687.5,229.80970388562795,2
Beaver Dam,WI,2.0,1050.0,1050.0,0.0,1
Beaverton,OR,1.0,1246.5,1246.5,72.8319984622144,2
Beaverton,OR,2.0,1319.5,1368.5,198.72678061432313,4
Beaverton,OR,4.0,2899.0,2899.0,0.0,1
Bedford,NH,1.0,1647.5,1647.5,74.24621202458749,2
Bedford,NH,2.0,1741.0,1805.0,214.70095481855688,5
Bedford,TX,1.0,927.0,941.0,92.22978549976865,7
Bedford,TX,2.0,1252.0,1234.1666666666667,93.91953357996829,12
Bedford,TX,3.0,1448.0,1448.0,0.0,1
Bedford Heights,OH,1.0,593.0,593.0,0.0,1
Beech Grove,IN,3.0,1300.0,1300.0,0.0,1
Bel Air,MD,2.0,1457.5,1457.5,413.6574669941303,2
Bel Air,MD,3.0,1757.5,1757.5,449.01280605345767,2
Belgrade,MT,3.0,1600.0,1600.0,0.0,1
Bella Vista,AR,3.0,2900.0,2900.0,0.0,1
Belle Mead,NJ,1.0,2055.0,2055.0,0.0,1
Belleville,MI,1.0,803.0,803.0,0.0,1
Belleville,NJ,1.0,1195.0,1195.0,0.0,1
Belleville,NJ,2.0,1620.0,1683.3333333333333,109.69655114602894,3
Bellevue,NE,1.0,765.0,788.6666666666666,85.00784277543652,3
Bellevue,NE,2.0,900.0,900.0,0.0,1
Bellevue,WA,1.0,1809.5,1787.5555555555557,373.8365830809944,18
Bellevue,WA,2.0,1990.0,2197.923076923077,614.9481633355315,13
Bellevue,WA,3.0,5857.5,5857.5,5002.780476894824,2
Bellevue,WA,4.0,2900.0,2900.0,0.0,1
Bellflower,CA,1.0,1355.0,1355.0,0.0,1
Bellingham,WA,1.0,1112.5,1148.75,338.7569187485327,4
Bellingham,WA,2.0,1125.0,1136.4,268.91876096695074,5
Bellingham,WA,3.0,1575.0,1575.0,0.0,1
Bellmawr,NJ,1.0,880.0,880.0,14.142135623730951,2
Bellwood,IL,2.0,1200.0,1200.0,0.0,1
Belmont,CA,4.0,6850.0,6850.0,0.0,1
Belmont,MI,3.0,2200.0,2200.0,0.0,1
Belmont,NC,1.0,829.0,829.0,0.0,1
Belmont,NC,2.0,1050.0,1050.0,0.0,1
Beloit,WI,1.0,609.0,609.0,0.0,1
Beloit,WI,2.0,850.0,850.0,0.0,1
Beltsville,MD,1.0,1505.0,1505.0,0.0,1
Beltsville,MD,3.0,1804.0,1804.0,0.0,1
Bend,OR,1.0,1900.0,1900.0,0.0,2
Bend,OR,2.0,2195.0,2195.0,0.0,1
Bend,OR,3.0,3000.0,3000.0,0.0,1
Bennington,VT,1.0,700.0,700.0,0.0,1
Bensenville,IL,1.0,1199.0,1199.0,0.0,1
Benton,AR,4.0,1225.0,1225.0,0.0,2
Bentonville,AR,1.0,1050.0,1050.0,0.0,1
Bentonville,AR,3.0,1365.0,1365.0,608.1118318204309,2
Berkeley,CA,1.0,2250.0,2181.6666666666665,163.57974609753296,3
Berkeley,CA,2.0,2450.0,3059.8,1114.8677948528248,5
Berkeley,CA,3.0,4995.0,4995.0,0.0,1
Berkley,MI,1.0,995.0,995.0,0.0,1
Berlin,WI,3.0,771.0,771.0,0.0,1
Berrien Springs,MI,1.0,550.0,550.0,0.0,1
Bethesda,MD,0.0,1708.0,1658.0,304.09866819833326,3
Bethesda,MD,3.0,3810.0,3810.0,0.0,1
Bethesda,MD,4.0,4750.0,4750.0,0.0,1
Bethlehem,GA,3.0,1199.0,1199.0,0.0,1
Bethlehem,GA,4.0,1525.0,1525.0,0.0,1
Bettendorf,IA,1.0,952.5,952.5,137.88582233137677,2
Beulah,ND,2.0,500.0,500.0,0.0,1
Beverly Hills,CA,1.0,4022.5,4360.75,1286.489635921461,4
Beverly Hills,CA,2.0,4494.0,4524.666666666667,1155.3052987558453,3
Big Rapids,MI,1.0,740.0,740.0,0.0,2
Big Rapids,MI,2.0,1030.0,1020.0,17.320508075688775,3
Big Rapids,MI,4.0,1532.5,1532.5,10.606601717798213,2
Big Rapids,MI,6.0,2130.0,2130.0,0.0,2
Billings,MT,2.0,1160.0,1160.0,0.0,1
Binghamton,NY,5.0,1500.0,1500.0,0.0,1
Birmingham,AL,0.0,699.0,699.0,0.0,2
Birmingham,AL,1.0,1090.5,1235.25,439.3649773631637,4
Birmingham,AL,4.0,495.0,495.0,0.0,1
Birmingham,MI,3.0,4525.0,4525.0,0.0,1
Bismarck,ND,1.0,1700.0,1700.0,0.0,1
Bismarck,ND,2.0,867.5,867.5,74.24621202458749,2
Bismarck,ND,3.0,1695.0,1553.5714285714287,333.0504752250311,7
Bismarck,ND,4.0,1695.0,1695.0,0.0,1
Bixby,OK,2.0,949.0,949.0,0.0,1
Blacksburg,VA,1.0,1125.0,1125.0,0.0,1
Blacksburg,VA,3.0,1700.0,1700.0,0.0,1
Blacksburg,VA,4.0,2200.0,1725.0,1092.8746497197196,3
Blackwood,NJ,1.0,1005.0,1126.6666666666667,215.07750540987155,3
Blackwood,NJ,2.0,1245.0,1245.0,0.0,1
Bladensburg,MD,1.0,1195.0,1200.0,22.9128784747792,3
Bladensburg,MD,2.0,1524.5,1524.5,50.204581464244875,2
Blaine,MN,1.0,1329.0,1329.0,0.0,1
Blanco,TX,1.0,885.0,885.0,0.0,1
Bloomfield,CT,2.0,1795.0,1751.6666666666667,174.09288708426126,3
Bloomingdale,NJ,1.0,2150.0,2150.0,0.0,1
Bloomingdale,NJ,2.0,2275.5,2342.75,148.72877999903048,4
Bloomington,IL,1.0,617.5,617.5,10.606601717798213,2
Bloomington,IN,0.0,889.0,889.0,0.0,1
Bloomington,IN,1.0,745.0,793.0,151.9614612797788,22
Bloomington,IN,2.0,1020.0,1038.6666666666667,326.29945346772087,12
Bloomington,IN,3.0,1899.5,1640.25,853.1728597250551,8
Bloomington,IN,4.0,3250.0,3250.0,212.13203435596427,2
Bloomington,IN,5.0,3525.0,3559.375,1099.9949269363537,8
Bloomington,IN,7.0,9000.0,9000.0,0.0,1
Bloomington,MN,1.0,1039.0,1078.0,107.92126759818937,3
Bloomington,MN,2.0,1345.0,1345.0,77.78174593052023,2
Blue Springs,MO,1.0,815.0,815.0,0.0,1
Blue Springs,MO,2.0,930.0,930.0,0.0,1
Blue Springs,MO,3.0,1350.0,1398.3333333333333,83.71578903249572,3
Boca Raton,FL,2.0,1800.0,1800.0,0.0,1
Boise,ID,1.0,1135.0,1304.625,474.0837591758293,8
Boise,ID,2.0,1700.0,1641.6666666666667,385.8216340918862,3
Boise,ID,3.0,1737.5,1737.5,229.80970388562795,2
Boise,ID,4.0,1772.0,1772.0,32.526911934581186,2
Bolingbrook,IL,1.0,1223.0,1223.0,0.0,1
Boone,IA,1.0,550.0,550.0,0.0,1
Boone,IA,2.0,635.0,635.0,0.0,1
Bossier City,LA,1.0,901.0,901.0,0.0,1
Bossier City,LA,3.0,860.0,860.0,0.0,1
Bostic,NC,1.0,823.0,823.0,0.0,1
Bostic,NC,2.0,922.0,922.0,0.0,1
Boston,MA,1.0,2765.0,2790.2,621.0825316422215,10
Boston,MA,2.0,2800.0,3148.6363636363635,672.254159187918,11
Boston,MA,3.0,3300.0,3256.6666666666665,267.6440422152777,3
Boston,MA,4.0,3800.0,3800.0,0.0,1
Boston,MA,5.0,4850.0,4850.0,565.685424949238,2
Bothell,WA,1.0,1681.0,1727.6,127.61974768820069,5
Bothell,WA,2.0,1755.0,1751.1818181818182,186.552308043518,11
Bothell,WA,3.0,2380.0,2380.0,0.0,1
Bothell,WA,4.0,2339.0,2339.0,933.3809511662428,2
Boulder,CO,1.0,910.0,1068.3333333333333,282.94581342252326,3
Boulder,CO,2.0,1955.0,1690.0,613.7181763643636,4
Boulder City,NV,2.0,1095.0,1095.0,0.0,1
Bountiful,UT,2.0,1100.0,1100.0,0.0,1
Bowie,MD,1.0,1522.0,1522.0,0.0,1
Bowie,MD,2.0,1915.0,1915.0,0.0,2
Bowling Green,KY,1.0,1250.0,1250.0,0.0,1
Bowling Green,OH,1.0,650.0,650.0,0.0,1
Box Elder,SD,5.0,1900.0,1900.0,0.0,1
Bozeman,MT,1.0,1695.0,1695.0,0.0,1
Bozeman,MT,3.0,3500.0,3500.0,0.0,1
Bradenton,FL,1.0,1067.0,1067.0,0.0,1
Bradenton,FL,2.0,1379.5,1530.0,550.2573943165144,6
Bradenton,FL,3.0,1650.0,1650.0,0.0,1
Bradley,CA,4.0,2750.0,2750.0,0.0,1
Braintree,MA,1.0,2355.0,2355.0,0.0,2
Braintree,MA,2.0,2250.0,2250.0,0.0,1
Brandon,FL,2.0,1360.0,1360.0,0.0,1
Brandon,FL,3.0,1449.0,1449.0,141.4213562373095,2
Brandon,FL,4.0,1549.0,1549.0,0.0,1
Brandon,SD,2.0,895.0,828.3333333333334,115.47005383792515,3
Brandon,SD,4.0,1425.0,1425.0,247.48737341529164,2
Branson,MO,2.0,1250.0,1250.0,0.0,1
Brea,CA,1.0,1615.0,1815.0,420.23802778901387,4
Brea,CA,2.0,1595.0,1740.0,268.65405264019375,3
Bremerton,WA,1.0,1217.5,1265.0,119.09380056633229,4
Bremerton,WA,2.0,1487.5,1487.5,123.74368670764582,2
Bremerton,WA,3.0,2700.0,2700.0,0.0,1
Brentwood,CA,1.0,1175.0,1175.0,0.0,1
Brentwood,TN,1.0,1138.0,1138.0,0.0,1
Briarwood,NY,0.0,1599.0,1599.0,0.0,1
Brick,NJ,2.0,1910.0,1910.0,120.20815280171308,2
Bridge City,TX,2.0,700.0,700.0,0.0,1
Bridgeport,CT,1.0,1172.5,1172.5,173.24116139070415,2
Bridgeport,CT,2.0,700.0,700.0,0.0,1
Bridgeport,CT,3.0,1475.0,1475.0,0.0,1
Bridgeton,MO,2.0,1150.0,1150.0,0.0,1
Bridgewater,MA,1.0,1850.0,1850.0,0.0,1
Bridgewater,MA,2.0,1639.0,1639.0,0.0,1
Bridgewater,NJ,1.0,1600.0,1600.0,0.0,1
Brighton,CO,2.0,1250.0,1285.0,304.0148022712052,3
Brighton,MA,3.0,2700.0,2700.0,0.0,1
Broadview Heights,OH,2.0,682.5,682.5,45.96194077712559,2
Broadway,NC,1.0,1147.0,1147.0,0.0,1
Broadway,NC,2.0,1218.0,1218.0,0.0,1
Brockport,NY,2.0,1598.0,1598.0,0.0,1
Brockton,MA,1.0,1025.0,1025.0,0.0,1
Brockton,MA,2.0,1400.0,1400.0,0.0,1
Brockton,MA,3.0,1850.0,1850.0,0.0,1
Broken Arrow,OK,1.0,830.0,830.0,0.0,1
Broken Arrow,OK,4.0,1500.0,1500.0,0.0,1
Brook Park,OH,2.0,705.0,705.0,0.0,1
Brookfield,CT,2.0,1995.0,1995.0,0.0,1
Brookfield,WI,1.0,1327.5,1327.5,3.5355339059327378,2
Brookfield,WI,2.0,1485.0,1485.0,233.3452377915607,2
Brookfield,WI,3.0,1340.0,1340.0,0.0,1
Brookline,MA,5.0,6300.0,6300.0,0.0,1
Brooklyn,NY,2.0,2962.5,2962.5,2174.353352148634,2
Brooklyn,NY,3.0,3000.0,3000.0,0.0,1
Brooklyn Center,MN,1.0,1049.0,1049.0,113.13708498984761,2
Brooklyn Center,MN,3.0,1482.0,1482.0,0.0,1
Broomall,PA,2.0,1275.0,1275.0,0.0,1
Broomfield,CO,1.0,1103.0,1090.25,395.5084280602206,4
Broomfield,CO,4.0,2195.0,2195.0,0.0,1
Brown Deer,WI,2.0,984.0,984.0,0.0,1
Brownsburg,IN,1.0,695.0,695.0,0.0,1
Brunswick,OH,2.0,1500.0,1500.0,0.0,3
Bryan,TX,1.0,879.5,879.5,14.849242404917497,2
Bryan,TX,2.0,664.0,644.25,108.02893131008933,4
Bryn Mawr,PA,2.0,1750.0,1750.0,0.0,1
Buckeye,AZ,4.0,1525.0,1525.0,0.0,1
Budd Lake,NJ,1.0,1277.0,1318.8,222.1332933173233,5
Budd Lake,NJ,2.0,1402.0,1402.0,0.0,1
Buena Park,CA,1.0,1580.0,1580.0,42.42640687119285,2
Buena Park,CA,2.0,1897.5,1897.5,3.5355339059327378,2
Buffalo,NY,1.0,795.0,800.0,80.77747210701757,5
Buffalo,NY,2.0,1510.0,1510.0,685.8935777509511,2
Buford,GA,1.0,1070.0,1070.0,0.0,1
Buford,GA,4.0,1499.0,1499.0,0.0,1
Buies Creek,NC,2.0,1118.0,1118.0,0.0,1
Bullock,NC,2.0,1410.0,1410.0,0.0,1
Burke,VA,1.0,1045.0,1045.0,0.0,1
Burleson,TX,3.0,1449.0,1465.5714285714287,47.731391287974404,7
Burleson,TX,4.0,1499.0,1499.0,0.0,1
Burley,ID,2.0,900.0,900.0,0.0,1
Burlington,NC,1.0,859.5,859.5,64.34671708797582,2
Burlington,NC,2.0,899.5,899.5,34.64823227814083,2
Burlington,NC,3.0,1369.0,1369.0,0.0,2
Burlington,ND,2.0,750.0,750.0,0.0,1
Burlington,VT,1.0,1537.5,1537.5,88.38834764831844,2
Burlington,VT,2.0,1625.0,1625.0,106.06601717798213,2
Burlington,VT,3.0,2200.0,2200.0,0.0,1
Burnsville,MN,1.0,997.0,997.0,87.68124086713189,2
Burnsville,MN,3.0,1315.0,1315.0,0.0,1
Burtonsville,MD,2.0,1589.0,1589.0,0.0,2
Burtonsville,MD,3.0,1890.0,1890.0,0.0,1
Butler,PA,1.0,625.0,625.0,0.0,1
Butner,NC,1.0,1080.0,1080.0,0.0,1
Caldwell,NJ,2.0,1800.0,1800.0,0.0,1
Calera,AL,3.0,1375.0,1375.0,176.7766952966369,2
Calera,AL,4.0,1365.0,1365.0,0.0,1
Calumet City,IL,2.0,875.0,875.0,0.0,1
Camarillo,CA,1.0,1806.0,1806.0,220.61731573020282,2
Camas,WA,1.0,1270.0,1270.0,0.0,1
Cambridge,MA,1.0,2750.0,2833.2,326.1475126380699,5
Cambridge,MA,2.0,2659.0,3223.0,1153.515062753842,3
Cambridge,MN,1.0,885.0,885.0,0.0,1
Cambridge,MN,2.0,922.0,922.0,0.0,1
Camby,IN,3.0,1374.0,1374.0,35.35533905932738,2
Camden,NJ,1.0,675.0,675.0,0.0,1
Cameron,TX,2.0,695.0,695.0,0.0,1
Cameron Park,CA,4.0,2995.0,2995.0,0.0,1
Campbell,CA,2.0,2245.0,2245.0,0.0,1
Canal Fulton,OH,2.0,795.0,795.0,0.0,1
Canby,OR,1.0,1260.0,1260.0,0.0,1
Canoga Park,CA,1.0,1610.0,1610.0,0.0,1
Canoga Park,CA,2.0,1810.0,1810.0,0.0,1
Canonsburg,PA,4.0,2200.0,2200.0,0.0,1
Canton,MI,2.0,1699.0,1699.0,0.0,1
Canton,OH,2.0,690.0,751.6666666666666,166.3079472945696,3
Canyon Lake,TX,1.0,899.0,899.0,0.0,1
Canyon Lake,TX,3.0,1350.0,1350.0,0.0,1
Cape Coral,FL,2.0,1000.0,1000.0,0.0,1
Cape Girardeau,MO,2.0,1400.0,1400.0,0.0,1
Cape Girardeau,MO,3.0,1800.0,1800.0,0.0,1
Capitol Heights,MD,3.0,1480.0,1480.0,0.0,1
Carbon Cliff,IL,1.0,785.0,785.0,0.0,1
Carbon Cliff,IL,2.0,725.0,725.0,0.0,1
Carbondale,IL,1.0,497.5,497.5,3.5355339059327378,2
Carbondale,IL,2.0,862.5,862.5,123.74368670764582,2
Carlsbad,CA,1.0,1795.0,1795.0,0.0,1
Carlsbad,CA,2.0,2445.0,2445.0,0.0,1
Carlsbad,CA,3.0,3797.5,3797.5,1417.7490962790278,2
Carmel,IN,1.0,1107.0,1107.0,294.15642097360376,2
Carnegie,PA,1.0,952.0,952.0,0.0,1
Carrboro,NC,2.0,888.0,888.0,0.0,1
Carrboro,NC,3.0,775.0,775.0,0.0,1
Carrollton,GA,1.0,825.0,825.0,0.0,1
Carrollton,TX,1.0,930.0,930.0,0.0,1
Carson,CA,1.0,1845.0,1845.0,0.0,1
Carteret,NJ,2.0,1988.0,1988.0,0.0,1
Cartersville,GA,4.0,2150.0,2150.0,0.0,1
Cary,NC,1.0,964.5,1015.0,208.35258577709087,6
Cary,NC,2.0,1129.0,1112.2142857142858,173.90588903702553,14
Cary,NC,3.0,1480.5,1480.5,26.16295090390226,2
Cary,NC,4.0,1600.0,1600.0,0.0,1
Casar,NC,1.0,965.0,965.0,0.0,1
Casar,NC,2.0,1349.0,1349.0,0.0,1
Cassopolis,MI,1.0,575.0,575.0,0.0,1
Castle Hills,TX,2.0,995.0,995.0,0.0,1
Castle Rock,CO,3.0,1990.0,1990.0,0.0,1
