title,description,rent,deposit,label
Berlin Apartment Scam 5,Immediate payment required.,430,1580,1
Student Room Scam 5,Landlord abroad. Send deposit first.,330,1780,1
WG Apartment Scam 5,Urgent booking needed. No contract.,380,1680,1
Luxury Loft Scam 5,Western Union payment only.,480,2580,1
City Center Flat Scam 5,Keys mailed after payment.,430,1880,1
Cheap Room Scam 5,No Anmeldung. Deposit today.,300,1580,1
Modern Apartment Scam 5,Owner overseas. Crypto payment accepted.,400,2280,1
Berlinovo Student Room 5,Official student accommodation. Viewing available.,690,690,0
University Apartment 5,Registered landlord with contract.,740,740,0
Student Housing Berlin 5,Physical viewing available before payment.,640,640,0
Safe Apartment 5,Verified listing with official documents.,840,840,0
Campus Housing 5,Secure payment after agreement.,790,790,0
WG Gesucht Apartment 5,Meeting possible before deposit.,720,720,0
Studio Near U-Bahn 5,Anmeldung available. Standard contract.,760,760,0
Family Apartment 5,Verified owner. In-person viewing.,990,1940,0
Private Room 5,Deposit after signing contract.,590,590,0
Apartment in Mitte 5,Professional agency listing.,1020,2000,0
Cheap Apartment Berlin Scam 6,Currently abroad. Deposit first. Urgent transfer required.,325,1900,1
Luxury Flat Scam 6,No viewing possible. WhatsApp only.,375,1900,1
Cheap Studio Scam 6,Transfer money before viewing.,275,2100,1
Berlin Apartment Scam 6,Immediate payment required.,425,1600,1
Student Room Scam 6,Landlord abroad. Send deposit first.,325,1800,1
WG Apartment Scam 6,Urgent booking needed. No contract.,375,1700,1
Luxury Loft Scam 6,Western Union payment only.,475,2600,1
City Center Flat Scam 6,Keys mailed after payment.,425,1900,1
Cheap Room Scam 6,No Anmeldung. Deposit today.,295,1600,1
Modern Apartment Scam 6,Owner overseas. Crypto payment accepted.,395,2300,1
Berlinovo Student Room 6,Official student accommodation. Viewing available.,700,700,0
University Apartment 6,Registered landlord with contract.,750,750,0
Student Housing Berlin 6,Physical viewing available before payment.,650,650,0
Safe Apartment 6,Verified listing with official documents.,850,850,0
Campus Housing 6,Secure payment after agreement.,800,800,0
WG Gesucht Apartment 6,Meeting possible before deposit.,730,730,0
Studio Near U-Bahn 6,Anmeldung available. Standard contract.,770,770,0
Family Apartment 6,Verified owner. In-person viewing.,1000,1950,0
Private Room 6,Deposit after signing contract.,600,600,0
Apartment in Mitte 6,Professional agency listing.,1030,2010,0
Cheap Apartment Berlin Scam 7,Currently abroad. Deposit first. Urgent transfer required.,320,1920,1
Luxury Flat Scam 7,No viewing possible. WhatsApp only.,370,1920,1
Cheap Studio Scam 7,Transfer money before viewing.,270,2120,1
Berlin Apartment Scam 7,Immediate payment required.,420,1620,1
Student Room Scam 7,Landlord abroad. Send deposit first.,320,1820,1
WG Apartment Scam 7,Urgent booking needed. No contract.,370,1720,1
Luxury Loft Scam 7,Western Union payment only.,470,2620,1
City Center Flat Scam 7,Keys mailed after payment.,420,1920,1
Cheap Room Scam 7,No Anmeldung. Deposit today.,290,1620,1
Modern Apartment Scam 7,Owner overseas. Crypto payment accepted.,390,2320,1
Berlinovo Student Room 7,Official student accommodation. Viewing available.,710,710,0
University Apartment 7,Registered landlord with contract.,760,760,0
Student Housing Berlin 7,Physical viewing available before payment.,660,660,0
Safe Apartment 7,Verified listing with official documents.,860,860,0
Campus Housing 7,Secure payment after agreement.,810,810,0
WG Gesucht Apartment 7,Meeting possible before deposit.,740,740,0
Studio Near U-Bahn 7,Anmeldung available. Standard contract.,780,780,0
Family Apartment 7,Verified owner. In-person viewing.,1010,1960,0
Private Room 7,Deposit after signing contract.,610,610,0
Apartment in Mitte 7,Professional agency listing.,1040,2020,0
Cheap Apartment Berlin Scam 8,Currently abroad. Deposit first. Urgent transfer required.,315,1940,1
Luxury Flat Scam 8,No viewing possible. WhatsApp only.,365,1940,1
Cheap Studio Scam 8,Transfer money before viewing.,265,2140,1
Berlin Apartment Scam 8,Immediate payment required.,415,1640,1
Student Room Scam 8,Landlord abroad. Send deposit first.,315,1840,1
WG Apartment Scam 8,Urgent booking needed. No contract.,365,1740,1
Luxury Loft Scam 8,Western Union payment only.,465,2640,1
City Center Flat Scam 8,Keys mailed after payment.,415,1940,1
Cheap Room Scam 8,No Anmeldung. Deposit today.,285,1640,1
Modern Apartment Scam 8,Owner overseas. Crypto payment accepted.,385,2340,1
Berlinovo Student Room 8,Official student accommodation. Viewing available.,720,720,0
University Apartment 8,Registered landlord with contract.,770,770,0
Student Housing Berlin 8,Physical viewing available before payment.,670,670,0
Safe Apartment 8,Verified listing with official documents.,870,870,0
Campus Housing 8,Secure payment after agreement.,820,820,0
WG Gesucht Apartment 8,Meeting possible before deposit.,750,750,0
Studio Near U-Bahn 8,Anmeldung available. Standard contract.,790,790,0
Family Apartment 8,Verified owner. In-person viewing.,1020,1970,0
Private Room 8,Deposit after signing contract.,620,620,0
Apartment in Mitte 8,Professional agency listing.,1050,2030,0
Cheap Apartment Berlin Scam 9,Currently abroad. Deposit first. Urgent transfer required.,310,1960,1
Luxury Flat Scam 9,No viewing possible. WhatsApp only.,360,1960,1
Cheap Studio Scam 9,Transfer money before viewing.,260,2160,1
Berlin Apartment Scam 9,Immediate payment required.,410,1660,1
Student Room Scam 9,Landlord abroad. Send deposit first.,310,1860,1
WG Apartment Scam 9,Urgent booking needed. No contract.,360,1760,1
Luxury Loft Scam 9,Western Union payment only.,460,2660,1
City Center Flat Scam 9,Keys mailed after payment.,410,1960,1
Cheap Room Scam 9,No Anmeldung. Deposit today.,280,1660,1
Modern Apartment Scam 9,Owner overseas. Crypto payment accepted.,380,2360,1
Berlinovo Student Room 9,Official student accommodation. Viewing available.,730,730,0
University Apartment 9,Registered landlord with contract.,780,780,0
Student Housing Berlin 9,Physical viewing available before payment.,680,680,0
Safe Apartment 9,Verified listing with official documents.,880,880,0
Campus Housing 9,Secure payment after agreement.,830,830,0
WG Gesucht Apartment 9,Meeting possible before deposit.,760,760,0
Studio Near U-Bahn 9,Anmeldung available. Standard contract.,800,800,0
Family Apartment 9,Verified owner. In-person viewing.,1030,1980,0
Private Room 9,Deposit after signing contract.,630,630,0
Apartment in Mitte 9,Professional agency listing.,1060,2040,0
Cheap Apartment Berlin Scam 10,Currently abroad. Deposit first. Urgent transfer required.,305,1980,1
Luxury Flat Scam 10,No viewing possible. WhatsApp only.,355,1980,1
Cheap Studio Scam 10,Transfer money before viewing.,255,2180,1
Berlin Apartment Scam 10,Immediate payment required.,405,1680,1
Student Room Scam 10,Landlord abroad. Send deposit first.,305,1880,1
WG Apartment Scam 10,Urgent booking needed. No contract.,355,1780,1
Luxury Loft Scam 10,Western Union payment only.,455,2680,1
City Center Flat Scam 10,Keys mailed after payment.,405,1980,1
Cheap Room Scam 10,No Anmeldung. Deposit today.,275,1680,1
Modern Apartment Scam 10,Owner overseas. Crypto payment accepted.,375,2380,1
Berlinovo Student Room 10,Official student accommodation. Viewing available.,740,740,0
University Apartment 10,Registered landlord with contract.,790,790,0
Student Housing Berlin 10,Physical viewing available before payment.,690,690,0
Safe Apartment 10,Verified listing with official documents.,890,890,0
Campus Housing 10,Secure payment after agreement.,840,840,0
WG Gesucht Apartment 10,Meeting possible before deposit.,770,770,0
Studio Near U-Bahn 10,Anmeldung available. Standard contract.,810,810,0
Family Apartment 10,Verified owner. In-person viewing.,1040,1990,0
Private Room 10,Deposit after signing contract.,640,640,0
Apartment in Mitte 10,Professional agency listing.,1070,2050,0
